Month,PlannerName,Product,ProductFamily,Plant,Forecast_Tons,Resource,Scenario Version,Comment
46388,HarborDesk,TRC-01,TERRA CORE,PLT-C1,61.7046,South Line G-700L,Baseline,SLG
46388,HarborDesk,TRC-01,TERRA CORE,PLT-C1,72.0228,South Line G-700L,Expansion,SLG
46388,HarborDesk,TRC-01,TERRA CORE,PLT-C1,46.9299,South Line G-700L,Lean,SLG
46419,HarborDesk,TRC-01,TERRA CORE,PLT-C1,61.5572,South Line G-700L,Baseline,SLG
46419,HarborDesk,TRC-01,TERRA CORE,PLT-C1,76.4042,South Line G-700L,Expansion,SLG
46419,HarborDesk,TRC-01,TERRA CORE,PLT-C1,48.7281,South Line G-700L,Lean,SLG
46447,HarborDesk,TRC-01,TERRA CORE,PLT-C1,62.1751,South Line G-700L,Baseline,SLG
46447,HarborDesk,TRC-01,TERRA CORE,PLT-C1,77.1314,South Line G-700L,Expansion,SLG
46447,HarborDesk,TRC-01,TERRA CORE,PLT-C1,49.9473,South Line G-700L,Lean,SLG
46478,HarborDesk,TRC-01,TERRA CORE,PLT-C1,65.2388,South Line G-700L,Baseline,SLG
46478,HarborDesk,TRC-01,TERRA CORE,PLT-C1,73.6599,South Line G-700L,Expansion,SLG
46478,HarborDesk,TRC-01,TERRA CORE,PLT-C1,49.3166,South Line G-700L,Lean,SLG
46508,HarborDesk,TRC-01,TERRA CORE,PLT-C1,65.6524,South Line G-700L,Baseline,SLG
46508,HarborDesk,TRC-01,TERRA CORE,PLT-C1,74.4199,South Line G-700L,Expansion,SLG
46508,HarborDesk,TRC-01,TERRA CORE,PLT-C1,47.2413,South Line G-700L,Lean,SLG
46539,HarborDesk,TRC-01,TERRA CORE,PLT-C1,65.1808,South Line G-700L,Baseline,SLG
46539,HarborDesk,TRC-01,TERRA CORE,PLT-C1,73.3019,South Line G-700L,Expansion,SLG
46539,HarborDesk,TRC-01,TERRA CORE,PLT-C1,48.3531,South Line G-700L,Lean,SLG
46569,HarborDesk,TRC-01,TERRA CORE,PLT-C1,65.4161,South Line G-700L,Baseline,SLG
46569,HarborDesk,TRC-01,TERRA CORE,PLT-C1,76.4161,South Line G-700L,Expansion,SLG
46569,HarborDesk,TRC-01,TERRA CORE,PLT-C1,50.0987,South Line G-700L,Lean,SLG
46600,HarborDesk,TRC-01,TERRA CORE,PLT-C1,71.9294,South Line G-700L,Baseline,SLG
46600,HarborDesk,TRC-01,TERRA CORE,PLT-C1,84.0321,South Line G-700L,Expansion,SLG
46600,HarborDesk,TRC-01,TERRA CORE,PLT-C1,53.7127,South Line G-700L,Lean,SLG
46631,HarborDesk,TRC-01,TERRA CORE,PLT-C1,78.2322,South Line G-700L,Baseline,SLG
46631,HarborDesk,TRC-01,TERRA CORE,PLT-C1,94.5141,South Line G-700L,Expansion,SLG
46631,HarborDesk,TRC-01,TERRA CORE,PLT-C1,57.9136,South Line G-700L,Lean,SLG
46661,HarborDesk,TRC-01,TERRA CORE,PLT-C1,77.1941,South Line G-700L,Baseline,SLG
46661,HarborDesk,TRC-01,TERRA CORE,PLT-C1,92.3318,South Line G-700L,Expansion,SLG
