Month,PlannerName,Product,ProductFamily,Plant, Forecast_Tons ,Resource,Scenario Version,Comment
2026-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2026-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2026-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.04,CA04 - 1300L JD,50 case,12120376
2026-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.02,CA04 - 1300L JD,50 case,12120376
2026-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-06,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-07,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-08,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-09,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-10,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-11,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2027-12,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-06,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-07,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-08,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-09,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-10,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-11,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2028-12,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-05,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-06,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-07,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-08,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-09,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-10,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-11,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2029-12,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-01,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-02,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-03,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2030-04,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
